SystemLoad,Date,Hour
11959,2004-02-11,4
12278,2004-02-11,5
13490,2004-02-11,6
19371,2004-02-11,7
18783,2004-02-11,8
24084,2004-02-11,9
17965,2004-02-11,10
25442,2004-02-11,11
18404,2004-02-11,12
19167,2004-02-11,13
26193,2004-02-11,14
17941,2004-02-11,15
20294,2004-02-11,16
23402,2004-02-11,17
20583,2004-02-11,18
22925,2004-02-11,19
19888,2004-02-11,20
18445,2004-02-11,21
17324,2004-02-11,22
15726,2004-02-11,23
14255,2004-02-11,24
13367,2004-02-12,1
12943,2004-02-12,2
12793,2004-02-12,3
12871,2004-02-12,4
13237,2004-02-12,5
14483,2004-02-12,6
16808,2004-02-12,7
18078,2004-02-12,8
18283,2004-02-12,9
18277,2004-02-12,10
18316,2004-02-12,11
18059,2004-02-12,12
17724,2004-02-12,13
17422,2004-02-12,14
16997,2004-02-12,15
16867,2004-02-12,16
17289,2004-02-12,17
18732,2004-02-12,18
19288,2004-02-12,19
18921,2004-02-12,20
18214,2004-02-12,21
17064,2004-02-12,22
15515,2004-02-12,23
14084,2004-02-12,24
13131,2004-02-13,1
12626,2004-02-13,2
12401,2004-02-13,3
12356,2004-02-13,4
12690,2004-02-13,5
15202,2004-02-13,6
22889,2004-02-13,7
17188,2004-02-13,8
17395,2004-02-13,9
17361,2004-02-13,10
17301,2004-02-13,11
17119,2004-02-13,12
16751,2004-02-13,13
16477,2004-02-13,14
16169,2004-02-13,15
15988,2004-02-13,16
16296,2004-02-13,17
17469,2004-02-13,18
17986,2004-02-13,19
17560,2004-02-13,20
16975,2004-02-13,21
16103,2004-02-13,22
14884,2004-02-13,23
13646,2004-02-13,24
12670,2004-02-14,1
12197,2004-02-14,2
11901,2004-02-14,3
11790,2004-02-14,4
11871,2004-02-14,5
12326,2004-02-14,6
13081,2004-02-14,7
13988,2004-02-14,8
14963,2004-02-14,9
15483,2004-02-14,10
15612,2004-02-14,11
15396,2004-02-14,12
15025,2004-02-14,13
14646,2004-02-14,14
14328,2004-02-14,15
14275,2004-02-14,16
14744,2004-02-14,17
16120,2004-02-14,18
16617,2004-02-14,19
16288,2004-02-14,20
15800,2004-02-14,21
15124,2004-02-14,22
14222,2004-02-14,23
13298,2004-02-14,24
12500,2004-02-15,1
14372,2004-02-15,2
19601,2004-02-15,3
18562,2004-02-15,4
12261,2004-02-15,5
15659,2004-02-15,6
15868,2004-02-15,7
14140,2004-02-15,8
21704,2004-02-15,9
15797,2004-02-15,10
24222,2004-02-15,11
19801,2004-02-15,12
17172,2004-02-15,13
21681,2004-02-15,14
19908,2004-02-15,15
16313,2004-02-15,16
19389,2004-02-15,17
23737,2004-02-15,18
23758,2004-02-15,19
26455,2004-02-15,20
18711,2004-02-15,21
17916,2004-02-15,22
20600,2004-02-15,23
14522,2004-02-15,24
13786,2004-02-16,1
13445,2004-02-16,2
13361,2004-02-16,3
13418,2004-02-16,4
13713,2004-02-16,5
14537,2004-02-16,6
15845,2004-02-16,7
16935,2004-02-16,8
17714,2004-02-16,9
18120,2004-02-16,10
18186,2004-02-16,11
18000,2004-02-16,12
17576,2004-02-16,13
17163,2004-02-16,14
16786,2004-02-16,15
20883,2004-02-16,16
19649,2004-02-16,17
18601,2004-02-16,18
19285,2004-02-16,19
18909,2004-02-16,20
18217,2004-02-16,21
17186,2004-02-16,22
15773,2004-02-16,23
14600,2004-02-16,24
13826,2004-02-17,1
13446,2004-02-17,2
21275,2004-02-17,3
20747,2004-02-17,4
19047,2004-02-17,5
15483,2004-02-17,6
19893,2004-02-17,7
25008,2004-02-17,8
23959,2004-02-17,9
26103,2004-02-17,10
18892,2004-02-17,11
23790,2004-02-17,12
24757,2004-02-17,13
25593,2004-02-17,14
26482,2004-02-17,15
22374,2004-02-17,16
23087,2004-02-17,17
18984,2004-02-17,18
19483,2004-02-17,19
19018,2004-02-17,20
18255,2004-02-17,21
17105,2004-02-17,22
15595,2004-02-17,23
14255,2004-02-17,24
13349,2004-02-18,1
20860,2004-02-18,2
17204,2004-02-18,3
19527,2004-02-18,4
15221,2004-02-18,5
19454,2004-02-18,6
18010,2004-02-18,7
